date,股票代號,名稱,收盤價,漲跌,開盤價,最高價,最低價,平均價,總成交量,總成交值,總筆數,最後買價,最後買量,最後賣價,最後賣量,發行股數,次日參考價,次日漲停價,次日跌停價,Event
2024/1/5,6547,COVID,69.1,1.4,68.0,69.3,67.8,68.82,"1,295,183","89,135,062",953,69.1,2,69.2,37,"328,608,050",69.1,76.0,62.2,
2024/1/4,6547,COVID,67.7,-0.6,68.4,68.7,67.5,67.86,"1,230,733","83,523,080","1,107",67.7,10,67.8,19,"328,608,050",67.7,74.4,61.0,
2024/1/3,6547,COVID,68.3,-0.2,68.6,69.2,68.1,68.54,"1,207,691","82,777,945",957,68.3,37,68.4,3,"328,608,050",68.3,75.1,61.5,
2024/1/2,6547,COVID,68.5,-1.6,69.5,69.8,68.3,68.76,"1,802,338","123,933,753","1,754",68.5,10,68.6,20,"328,608,050",68.5,75.3,61.7,
2023/12/29,6547,COVID,70.1,0.1,70.0,70.3,69.8,69.99,"726,408","50,843,931",532,70.1,3,70.2,9,"328,608,050",70.1,77.1,63.1,
2023/12/28,6547,COVID,70.0,0.1,69.7,70.6,69.7,70.07,"778,103","54,520,189",865,69.9,1,70.0,6,"328,608,050",70.0,77.0,63.0,
2023/12/27,6547,COVID,69.9,0.0,70.1,70.4,69.9,70.07,"735,433","51,531,085",858,69.9,1,70.0,7,"328,608,050",69.9,76.8,63.0,
2023/12/26,6547,COVID,69.9,0.9,69.1,69.9,69.1,69.61,"662,643","46,125,414",531,69.8,12,69.9,21,"328,608,050",69.9,76.8,63.0,
2023/12/25,6547,COVID,69.0,-0.4,69.5,69.9,68.9,69.19,"1,034,536","71,576,054",862,69.0,30,69.1,28,"328,608,050",69.0,75.9,62.1,
2023/12/22,6547,COVID,69.4,0.0,69.6,70.2,69.3,69.62,"847,132","58,978,021",721,69.3,61,69.4,2,"328,608,050",69.4,76.3,62.5,
2023/12/21,6547,COVID,69.4,-0.4,69.7,70.8,69.4,69.96,"1,558,299","109,023,870","1,552",69.4,82,69.5,17,"328,608,050",69.4,76.3,62.5,
2023/12/20,6547,COVID,69.8,0.6,69.3,70.6,69.3,70.06,"1,306,844","91,558,533","1,147",69.8,29,69.9,17,"328,608,050",69.8,76.7,62.9,2020年12月30日，中華民國衛福部
